DAY,GregorianMonthDay,FAJR start,SUN RISE,DHUHR start,ASR start,M/RIB start,ISHA start,FAJR prayer,DHUHR prayer,ASR prayer,M/RIB prayer,ISHA prayer,,
Thu,01-Jan,06:50,08:25,12:18,13:45,16:04,17:38,07:15,12:30,14:30,16:04,18:30,12:30,13:00
Fri,02-Jan,06:47,08:25,12:18,13:46,16:05,17:39,07:00,12:30,14:30,16:05,18:30,12:30,13:00
Sat,03-Jan,06:43,08:24,12:18,13:47,16:06,17:40,07:00,12:30,14:30,16:06,18:30,12:30,13:00
Sun,04-Jan,06:43,08:24,12:19,13:48,16:07,17:41,07:00,12:30,14:30,16:07,18:30,12:30,13:00
Mon,05-Jan,06:42,08:24,12:19,13:49,16:08,17:42,07:00,12:30,14:30,16:08,18:30,12:30,13:00
Tue,06-Jan,06:42,08:23,12:20,13:50,16:10,17:43,07:00,12:30,14:30,16:10,18:30,12:30,13:00
Wed,07-Jan,06:42,08:23,12:20,13:51,16:11,17:44,07:00,12:30,14:30,16:11,18:30,12:30,13:00
Thu,08-Jan,06:41,08:22,12:21,13:52,16:13,17:45,07:00,12:30,14:30,16:13,18:30,12:30,13:00
Fri,09-Jan,06:41,08:22,12:21,13:53,16:14,17:46,07:00,12:30,14:30,16:14,18:30,12:30,13:00
Sat,10-Jan,06:40,08:21,12:22,13:55,16:16,17:47,07:00,12:45,14:30,16:16,18:30,12:30,13:00
Sun,11-Jan,06:40,08:20,12:22,13:56,16:17,17:49,07:00,12:45,14:30,16:17,18:30,12:30,13:00
Mon,12-Jan,06:39,08:20,12:22,13:57,16:19,17:50,07:00,12:45,14:30,16:19,18:30,12:30,13:00
Tue,13-Jan,06:38,08:19,12:23,13:59,16:20,17:51,07:00,12:45,14:30,16:20,18:30,12:30,13:00
Wed,14-Jan,06:37,08:18,12:23,14:00,16:22,17:53,07:00,12:45,14:30,16:22,18:30,12:30,13:00
Thu,15-Jan,06:37,08:17,12:23,14:01,16:24,17:54,07:00,12:45,14:30,16:24,18:30,12:30,13:00
Fri,16-Jan,06:36,08:16,12:24,14:03,16:25,17:56,06:45,12:30,14:30,16:25,18:30,12:30,13:00
Sat,17-Jan,06:35,08:15,12:24,14:04,16:27,17:57,06:45,12:45,14:30,16:27,18:30,12:30,13:00
Sun,18-Jan,06:34,08:14,12:24,14:05,16:29,17:59,06:45,12:45,14:30,16:29,18:30,12:30,13:00
Mon,19-Jan,06:33,08:13,12:25,14:07,16:30,18:00,06:45,12:45,14:30,16:30,18:30,12:30,13:00
Tue,20-Jan,06:32,08:12,12:25,14:08,16:32,18:02,06:45,12:45,14:30,16:32,18:30,12:30,13:00
Wed,21-Jan,06:31,08:10,12:25,14:10,16:34,18:03,06:45,12:45,14:30,16:34,18:30,12:30,13:00
Thu,22-Jan,06:29,08:09,12:26,14:11,16:36,18:05,06:45,12:45,14:30,16:36,18:30,12:30,13:00
Fri,23-Jan,06:28,08:08,12:26,14:13,16:38,18:06,06:45,12:30,14:30,16:38,18:30,12:30,13:00
Sat,24-Jan,06:27,08:06,12:26,14:14,16:40,18:08,06:45,12:45,14:30,16:40,18:30,12:30,13:00
Sun,25-Jan,06:26,08:05,12:26,14:16,16:41,18:10,06:45,12:45,14:30,16:41,18:30,12:30,13:00
Mon,26-Jan,06:24,08:04,12:27,14:17,16:43,18:11,06:45,12:45,14:30,16:43,18:30,12:30,13:00
Tue,27-Jan,06:23,08:02,12:27,14:19,16:45,18:13,06:45,12:45,14:30,16:45,18:30,12:30,13:00
Wed,28-Jan,06:21,08:01,12:27,14:20,16:47,18:14,06:45,12:45,14:30,16:47,18:30,12:30,13:00
Thu,29-Jan,06:20,07:59,12:27,14:22,16:49,18:16,06:45,12:45,14:30,16:49,18:30,12:30,13:00
Fri,30-Jan,06:19,07:57,12:27,14:23,16:51,18:18,06:30,12:30,14:45,16:51,18:45,12:30,13:00
Sat,31-Jan,06:17,07:56,12:27,14:25,16:53,18:20,06:30,12:45,14:45,16:53,18:45,12:30,13:00
Sun,01-Feb,06:12,07:50,12:22,02:27,04:52,06:33,06:35,12:45,02:45,04:52,07:20,,
Mon,02-Feb,06:10,07:48,12:22,02:28,04:54,06:35,06:35,12:45,02:45,04:54,07:20,,
Tue,03-Feb,06:09,07:47,12:23,02:30,04:56,06:36,06:35,12:45,02:45,04:56,07:20,,
Wed,04-Feb,06:08,07:45,12:23,02:32,04:58,06:37,06:35,12:30,02:45,04:58,07:20,,
Thu,05-Feb,06:05,07:43,12:23,02:33,05:00,06:38,06:25,12:45,03:00,05:00,07:20,,
Fri,06-Feb,06:05,07:42,12:23,02:34,05:02,06:40,06:25,12:45,03:00,05:02,07:20,,
Sat,07-Feb,06:03,07:40,12:23,02:36,05:04,06:42,06:25,12:45,03:00,05:04,07:20,,
Sun,08-Feb,06:00,07:38,12:23,02:38,05:06,06:43,06:25,12:45,03:00,05:06,07:20,,
Mon,09-Feb,05:59,07:36,12:23,02:39,05:07,06:44,06:25,12:45,03:00,05:07,07:20,,
Tue,10-Feb,05:57,07:34,12:23,02:41,05:09,06:46,06:25,12:45,03:00,05:09,07:20,,
Wed,11-Feb,05:55,07:32,12:23,02:41,05:11,06:47,06:25,12:30,03:00,05:11,07:20,,
Thu,12-Feb,05:54,07:31,12:23,02:43,05:13,06:48,06:15,12:45,03:15,05:13,07:20,,
Fri,13-Feb,05:53,07:29,12:23,02:44,05:15,06:50,06:15,12:45,03:15,05:15,07:20,,
Sat,14-Feb,05:50,07:27,12:23,02:46,05:17,06:52,06:15,12:45,03:15,05:17,07:20,,
Sun,15-Feb,05:48,07:25,12:23,02:48,05:19,06:53,06:15,12:45,03:15,05:19,07:20,,
Mon,16-Feb,05:46,07:23,12:23,02:50,05:21,06:54,06:15,12:45,03:15,05:21,07:20,,
Tue,17-Feb,05:44,07:21,12:23,02:50,05:23,06:56,06:15,12:45,03:15,05:23,07:20,,
Wed,18-Feb,05:42,07:19,12:23,02:52,05:25,06:57,06:15,12:30,03:15,05:25,07:20,,
Thu,19-Feb,05:41,07:17,12:23,02:53,05:26,06:58,06:00,12:45,03:30,05:26,07:20,,
Fri,20-Feb,05:40,07:14,12:23,02:55,05:28,07:00,06:00,12:45,03:30,05:28,07:20,,
Sat,21-Feb,05:38,07:12,12:23,02:57,05:30,07:02,06:00,12:30,03:30,05:30,07:20,,
Sun,22-Feb,05:36,07:10,12:23,02:58,05:32,07:03,06:00,12:45,03:30,05:32,07:20,,
Mon,23-Feb,05:34,07:08,12:22,02:59,05:34,07:04,06:00,12:45,03:30,05:34,07:20,,
Tue,24-Feb,05:32,07:06,12:22,03:00,05:36,07:05,06:00,12:45,03:30,05:36,07:20,,
Wed,25-Feb,05:30,07:04,12:22,03:02,05:38,07:07,06:00,12:45,03:30,05:38,07:20,,
Thu,26-Feb,05:28,07:02,12:22,03:03,05:40,07:09,05:50,12:45,03:30,05:40,07:30,,
Fri,27-Feb,05:26,06:59,12:22,03:05,05:41,07:10,05:50,12:45,03:30,05:41,07:30,,
Sat,28-Feb,05:24,06:57,12:22,03:07,05:43,07:12,05:50,12:30,03:30,05:43,07:30,,
Sun,01-Mar,05:22,06:54,12:20,03:08,05:47,07:13,05:45,12:45,03:30,05:47,07:30,,
Mon,02-Mar,05:19,06:51,12:20,03:08,05:48,07:15,05:45,12:45,03:30,05:48,07:30,,
Tue,03-Mar,05:17,06:49,12:20,03:10,05:50,07:17,05:30,12:45,03:45,05:50,07:30,,
Wed,04-Mar,05:15,06:46,12:19,03:11,05:52,07:18,05:30,12:45,03:45,05:52,07:30,,
Thu,05-Mar,05:15,06:44,12:19,03:13,05:54,07:20,05:30,12:45,03:45,05:54,07:30,,
Fri,06-Mar,05:11,06:42,12:19,03:14,05:56,07:21,05:30,12:45,03:45,05:56,07:45,,
Sat,07-Mar,05:09,06:40,12:19,03:16,05:57,07:23,05:30,12:50,03:45,05:57,07:45,,
Sun,08-Mar,05:07,06:37,12:18,03:16,05:59,07:25,05:30,12:45,03:45,05:59,07:45,,
Mon,09-Mar,05:05,06:35,12:18,03:17,06:01,07:26,05:30,12:45,03:45,06:01,07:45,,
Tue,10-Mar,05:02,06:33,12:18,03:18,06:03,07:29,05:15,12:45,03:45,06:03,07:45,,
Wed,11-Mar,05:00,06:30,12:18,03:21,06:05,07:32,05:15,12:45,03:45,06:05,07:45,,
